Zipcodes,Population,% Asians,National Rank,Latitude,Longitude,City,State
55349,3731.0,0.45 %,"#12,541",45.061182,-94.072970,Howard Lake,Minnesota
56248,902.0,0.44 %,"#12,697",45.786154,-96.135813,Herman,Minnesota
56456,223.0,0.44 %,"#12,698",46.663517,-94.324435,Jenkins,Minnesota
56098,2485.0,0.44 %,"#12,699",43.771451,-94.181676,Winnebago,Minnesota
56073,17199.0,0.44 %,"#12,700",44.304830,-94.464745,New Ulm,Minnesota
55735,2034.0,0.44 %,"#12,701",46.315510,-93.134297,Finlayson,Minnesota
56751,5762.0,0.43 %,"#12,880",48.809822,-95.733307,Roseau,Minnesota
55927,3418.0,0.43 %,"#12,881",44.018831,-92.889524,Dodge Center,Minnesota
56308,21829.0,0.43 %,"#12,882",45.867629,-95.394264,Alexandria,Minnesota
55976,6923.0,0.43 %,"#12,883",43.866532,-92.504383,Stewartville,Minnesota
56501,15047.0,0.42 %,"#12,920",46.838507,-95.828650,Detroit Lakes,Minnesota
56279,1180.0,0.42 %,"#12,921",45.213912,-95.179039,Pennock,Minnesota
56058,5903.0,0.42 %,"#12,922",44.448969,-93.913545,Le Sueur,Minnesota
55744,19799.0,0.42 %,"#12,923",47.217685,-93.510739,Grand Rapids,Minnesota
56672,1934.0,0.41 %,"#13,142",47.054410,-94.051061,Remer,Minnesota
